,Original_Tags,Tags,YearTagCount
0,"android,xml",android,1327
1,"android,xml",xml,1327
2,"c#,windows-services",c#,339
3,"c#,windows-services",windows-services,339
4,"javascript,d3.js,svg",javascript,525
5,"javascript,d3.js,svg",d3.js,525
6,"javascript,d3.js,svg",svg,525
7,"javascript,regex,replace",javascript,355
8,"javascript,regex,replace",regex,355
9,"javascript,regex,replace",replace,355
10,"php,html",php,6886
11,"php,html",html,6886
12,"python,tkinter",python,2839
13,"python,tkinter",tkinter,2839
14,"shell,unix",shell,514
15,"shell,unix",unix,514
16,"swift,swift3",swift,338
17,"swift,swift3",swift3,338
18,"android,gradle",android,508
19,"android,gradle",gradle,508
20,"c,file",c,319
21,"c,file",file,319
22,"asp.net-mvc,asp.net-mvc-routing",asp.net-mvc,319
23,"asp.net-mvc,asp.net-mvc-routing",asp.net-mvc-routing,319
24,"ios,swift,realm",ios,335
25,"ios,swift,realm",swift,335
26,"ios,swift,realm",realm,335
27,"java,jsoup",java,486
28,"java,jsoup",jsoup,486
29,"java,scala",java,368
30,"java,scala",scala,368
31,"php,jquery,ajax",php,2441
32,"php,jquery,ajax",jquery,2441
33,"php,jquery,ajax",ajax,2441
34,"python,pyqt",python,415
35,"python,pyqt",pyqt,415
36,"python,random",python,377
37,"python,random",random,377
38,"r,for-loop",r,402
39,"r,for-loop",for-loop,402
40,"c,function",c,319
41,"c,function",function,319
42,"mysql,ruby-on-rails",mysql,389
43,"mysql,ruby-on-rails",ruby-on-rails,389
44,"bash,awk,sed",bash,393
45,"bash,awk,sed",awk,393
46,"bash,awk,sed",sed,393
47,"c#,sql,linq",c#,475
48,"c#,sql,linq",sql,475
49,"c#,sql,linq",linq,475
50,"javascript,node.js,express",javascript,1635
51,"javascript,node.js,express",node.js,1635
52,"javascript,node.js,express",express,1635
53,"python,function",python,620
54,"python,function",function,620
55,"windows,batch-file",windows,1371
56,"windows,batch-file",batch-file,1371
57,"java,android,listview",java,546
58,"java,android,listview",android,546
59,"java,android,listview",listview,546
60,"java,jodatime",java,371
61,"java,jodatime",jodatime,371
62,"python,scipy",python,397
63,"python,scipy",scipy,397
64,"r,date",r,422
65,"r,date",date,422
66,"reactjs,typescript",reactjs,322
67,"reactjs,typescript",typescript,322
68,"sql-server,ssis",sql-server,421
69,"sql-server,ssis",ssis,421
70,"vb.net,datagridview",vb.net,330
71,"vb.net,datagridview",datagridview,330
72,"android,facebook",android,868
73,"android,facebook",facebook,868
74,"jquery,validation",jquery,449
75,"jquery,validation",validation,449
76,"php,security",php,419
77,"php,security",security,419
78,"python,python-2.7",python,5846
79,"python,python-2.7",python-2.7,5846
80,"ruby,regex",ruby,1764
81,"ruby,regex",regex,1764
82,"arrays,vba,excel",arrays,347
83,"arrays,vba,excel",vba,347
84,"arrays,vba,excel",excel,347
85,"javascript,google-apps-script,google-sheets",javascript,425
86,"javascript,google-apps-script,google-sheets",google-apps-script,425
87,"javascript,google-apps-script,google-sheets",google-sheets,425
88,"python,arrays,numpy",python,2453
89,"python,arrays,numpy",arrays,2453
90,"python,arrays,numpy",numpy,2453
91,"c#,asp.net-mvc,linq",c#,384
92,"c#,asp.net-mvc,linq",asp.net-mvc,384
93,"c#,asp.net-mvc,linq",linq,384
94,"c#,html-agility-pack",c#,306
95,"c#,html-agility-pack",html-agility-pack,306
96,"java,eclipse,maven",java,462
97,"java,eclipse,maven",eclipse,462
98,"java,eclipse,maven",maven,462
99,"javascript,asp.net-mvc",javascript,339
100,"javascript,asp.net-mvc",asp.net-mvc,339
101,"jquery,json",jquery,1309
102,"jquery,json",json,1309
103,"php,loops",php,325
104,"php,loops",loops,325
105,"angularjs,angularjs-directive",angularjs,2060
106,"angularjs,angularjs-directive",angularjs-directive,2060
107,"ios,swift,xcode",ios,753
108,"ios,swift,xcode",swift,753
109,"ios,swift,xcode",xcode,753
110,"javascript,iframe",javascript,339
111,"javascript,iframe",iframe,339
112,"php,multidimensional-array",php,569
113,"php,multidimensional-array",multidimensional-array,569
114,"python,flask",python,1355
115,"python,flask",flask,1355
116,"python,import",python,379
117,"python,import",import,379
118,"c#,list",c#,924
119,"c#,list",list,924
120,"c#,sql-server",c#,1243
121,"c#,sql-server",sql-server,1243
122,"java,android,json",java,930
123,"java,android,json",android,930
124,"java,android,json",json,930
125,"python,recursion",python,616
126,"python,recursion",recursion,616
127,"regex,powershell",regex,477
128,"regex,powershell",powershell,477
129,"javascript,html,iframe",javascript,430
130,"javascript,html,iframe",html,430
131,"javascript,html,iframe",iframe,430
132,"javascript,jquery,html,angularjs",javascript,500
133,"javascript,jquery,html,angularjs",jquery,500
134,"javascript,jquery,html,angularjs",html,500
135,"javascript,jquery,html,angularjs",angularjs,500
136,"laravel,laravel-4",laravel,664
137,"laravel,laravel-4",laravel-4,664
138,"objective-c,cocoa",objective-c,1343
139,"objective-c,cocoa",cocoa,1343
140,"python,xml",python,588
141,"python,xml",xml,588
142,"android,bluetooth",android,411
143,"android,bluetooth",bluetooth,411
144,"c#,regex",c#,4860
145,"c#,regex",regex,4860
146,"c#,windows",c#,341
147,"c#,windows",windows,341
148,"docker,dockerfile",docker,556
149,"docker,dockerfile",dockerfile,556
150,"ios,app-store",ios,304
151,"ios,app-store",app-store,304
152,"javascript,jquery,wordpress",javascript,424
153,"javascript,jquery,wordpress",jquery,424
154,"javascript,jquery,wordpress",wordpress,424
155,"php,mysql,ajax",php,376
156,"php,mysql,ajax",mysql,376
