,Tags,singleTagCount
0,sharedpreferences,551
1,qt,3109
2,scanf,454
3,gridview,1586
4,android-widget,543
5,underscore.js,513
6,jar,322
7,boost,736
8,google-chrome-extension,2279
9,phpmyadmin,833
10,html-table,995
11,session,1044
12,magento,4618
13,image-processing,442
14,unix,768
15,dart,696
16,iphone,4017
17,ssis,575
18,jquery-plugins,1233
19,zend-framework,1359
20,jackson,555
21,curl,1192
22,azure,653
23,xcode,4727
24,html-lists,333
25,android,90110
26,lambda,705
27,jsf-2,1582
28,pygame,631
29,struct,469
30,django-models,1921
31,algorithm,2919
32,junit,371
33,google-sheets,937
34,rust,1109
35,templates,2437
36,applescript,432
37,rspec,1437
38,plone,331
39,postgresql,3984
40,d3.js,2861
41,db2,382
42,windows-phone-8,1006
43,winforms,6983
44,data.table,1304
45,oop,3017
46,emacs,1840
47,haskell,3741
48,powershell,3771
49,primefaces,1478
50,actionscript-3,2645
51,ms-word,542
52,excel-2010,322
53,android-viewpager,375
54,opengl-es,486
55,mongoose,1868
56,eclipse-plugin,607
57,x86,411
58,magento-1.7,501
59,kendo-ui,303
60,orchardcms,315
61,cocoa,1343
62,opencl,320
63,z3,305
64,android-alertdialog,482
65,sbt,536
66,wolfram-mathematica,762
67,angular-ui-router,1117
68,nullpointerexception,325
69,paypal,847
70,eloquent,330
71,scipy,398
72,javafx,560
73,matlab-figure,363
74,parse-platform,1030
75,delphi,2278
76,tcl,465
77,tortoisesvn,450
78,gps,345
79,asp.net-mvc-3,4013
80,libgdx,331
81,cypher,1012
82,java.util.scanner,448
83,android-camera,338
84,jquery-animate,420
85,javascript-events,1164
86,scrapy,405
87,breeze,356
88,webforms,412
89,sharepoint-2010,363
90,angularjs-directive,3420
91,mule,397
92,ruby-on-rails-4,3020
93,datagrid,436
94,gwt,1385
95,redirect,792
96,actionbarsherlock,339
97,closures,340
98,node.js,9710
99,multidimensional-array,1652
100,c#,86302
101,multithreading,5715
102,mvvm,1049
103,cordova,1112
104,npm,441
105,serialization,325
106,animation,384
107,sqlalchemy,653
108,c++11,2675
109,multiprocessing,349
110,logging,325
111,vb.net,7063
112,google-maps,4143
113,spring,3846
114,object,878
115,gitignore,301
116,reflection,1369
117,makefile,1289
118,html,115542
119,tkinter,1301
120,asp.net,21029
121,opengl,1477
122,perl,6155
123,linq,9150
124,bluetooth,320
125,sql-server-2008,9086
126,mongodb,7794
127,sql-server-2008-r2,713
128,excel,15984
129,ggplot2,3523
130,zend-framework2,881
131,gnuplot,732
132,polymer,369
133,xpages,725
134,jtable,560
135,broadcastreceiver,446
136,numpy,3961
137,database,5816
138,verilog,358
139,drupal-7,326
140,angularjs-scope,1634
141,jquery-mobile,2411
142,beautifulsoup,694
143,racket,378
144,dplyr,631
145,forms,3578
146,prototype,407
147,apache-pig,660
148,android-service,395
149,for-loop,333
150,json,13474
151,visual-studio-2012,309
152,xpath,1589
153,servicestack,451
154,ruby,19832
155,pandas,5048
156,cuda,757
157,google-cloud-messaging,387
158,notifications,337
159,mysql,74686
160,entity-framework,4444
161,coffeescript,771
162,google-bigquery,616
163,jpa,923
164,gson,427
165,macos,536
166,docker,670
167,ember.js,4600
168,google-maps-api-3,2812
169,nhibernate,711
170,canvas,1589
171,mod-rewrite,4447
172,jquery-ui,3888
173,elisp,858
174,django-views,310
175,sass,383
176,backbone.js,2918
177,android-asynctask,1383
178,variables,347
179,awk,1362
180,constructor,311
181,ajax,12497
182,user-interface,392
183,plyr,302
184,jenkins,486
185,tsql,7693
186,twitter-bootstrap,10118
187,go,2476
188,android-studio,1398
189,operator-overloading,548
190,xslt-1.0,725
191,doctrine-orm,1108
192,arraylist,1784
193,android-listview,1617
194,css-float,1052
195,prolog,1227
196,jquery,148890
197,loops,324
198,javascript,191623
199,winapi,736
200,eclipse,6328
201,jasper-reports,332
202,linq-to-sql,748
203,css,90864
204,dom,2751
205,clojure,1957
206,google-analytics,601
207,wix,303
208,linked-list,664
209,arrays,21689
210,bash,7640
211,oracle11g,1169
212,visual-studio-2010,2037
213,excel-formula,1245
214,listview,2422
215,f#,1111
216,wcf,1538
217,sql,62277
218,woocommerce,391
219,string,6949
220,asp.net-mvc-4,2553
221,twig,479
222,gradle,577
223,intellij-idea,992
224,ocaml,513
225,reporting-services,475
226,typescript,864
227,enums,912
228,opencv,1528
229,scala,4994
230,lua,944
231,android-emulator,608
232,django-templates,1091
233,highcharts,2308
234,joomla,672
235,xml,10726
236,sharepoint,363
237,datagridview,1160
238,cocos2d-iphone,445
239,sql-server,25848
240,apache,4460
241,email,636
242,iron-router,302
243,servlets,1148
244,yii,2039
245,stl,876
246,pointers,3117
247,routes,310
248,regex,37802
249,heroku,458
250,file-io,364
251,windows-phone-7,1726
252,blackberry,564
253,razor,1873
254,django-rest-framework,722
255,ruby-on-rails-3,7283
256,media-queries,311
257,plot,1948
258,sorting,610
259,svg,341
260,facebook-graph-api,2230
261,activerecord,2582
262,rest,310
263,file,732
264,github,2502
265,matplotlib,2370
266,ant,451
267,gorm,415
268,mfc,351
269,date,1775
270,textview,682
271,function,1330
272,uitableview,3562
273,mysqli,2872
274,laravel,3888
275,xslt,5040
276,elasticsearch,1807
277,vhdl,412
278,android-layout,5117
279,three.js,1253
280,vim,3462
281,laravel-4,1961
282,c++,38907
283,hibernate,3482
284,css-position,317
285,datatables,746
286,django-admin,825
287,drupal,326
288,wordpress,9294
289,visual-studio,900
290,design-patterns,388
291,symfony,4079
292,android-sqlite,358
293,jmeter,422
294,inheritance,949
295,nginx,576
296,flask,673
297,select,886
298,aggregation-framework,691
299,android-activity,1788
300,angularjs-ng-repeat,437
301,delphi-7,348
302,c,18254
303,wpf,9289
304,neo4j,1678
305,redis,547
306,cocoa-touch,811
307,shell,3829
308,codeigniter,5428
309,spring-mvc,2297
310,csv,1251
311,coldfusion,464
312,mongodb-query,801
313,google-cloud-datastore,348
314,cakephp,2293
315,pdo,2999
316,.htaccess,7672
317,dojo,841
318,common-lisp,350
319,list,3233
320,jsp,1437
321,checkbox,314
322,jquery-selectors,2103
323,methods,315
324,webview,536
325,triggers,439
326,google-chrome,1471
327,collections,615
328,julia,329
329,objective-c,14632
330,xna,495
331,foreach,812
332,class,1114
333,matrix,1155
334,svn,1477
335,sql-server-2005,1379
336,extjs,1951
337,extjs4,451
338,dynamics-crm-2011,308
339,random,314
340,google-drive-api,377
341,tfs,756
342,express,1993
343,version-control,497
344,groovy,1212
345,django-forms,1012
346,json.net,436
347,android-ndk,397
348,gnu-make,454
349,preg-replace,1202
350,vector,910
351,ms-access-2010,309
352,google-apps-script,1948
353,cookies,367
354,requirejs,322
355,argparse,358
356,android-fragments,2271
357,c#-4.0,951
358,validation,308
359,jqgrid,1724
360,printf,353
361,sqlite,6290
362,concurrency,325
363,visual-c++,748
364,stata,360
365,jframe,412
366,socket.io,437
367,linux,4020
368,swift,6578
369,xaml,2335
370,asp.net-mvc,10651
371,jsf,1883
372,join,2153
373,simplexml,427
374,internet-explorer,439
375,subprocess,367
376,vbscript,768
377,coronasdk,379
378,flexbox,403
379,mapreduce,807
380,service,372
381,google-play,781
382,imageview,359
383,reactjs,1251
384,mercurial,665
385,solr,789
386,apache-spark,345
387,asp-classic,357
388,scheme,731
389,google-app-engine,2557
390,jquery-validate,1198
391,hashmap,589
392,android-animation,351
393,sed,1288
394,if-statement,891
395,devise,783
396,inno-setup,479
397,sas,1171
398,dataframe,1994
399,maven,1410
400,powershell-2.0,499
401,phpexcel,405
402,wxpython,496
403,sql-server-2012,838
404,knockout.js,3205
405,generics,3057
406,android-intent,2506
407,netbeans,456
408,shiny,560
409,twitter-bootstrap-3,1784
410,andengine,315
411,fancybox,332
412,java,95015
413,android-webview,350
414,git,9528
415,wordpress-theming,519
416,r,22718
417,jakarta-ee,308
418,stored-procedures,1318
419,android-actionbar,717
420,cmd,887
421,jaxb,385
422,responsive-design,638
423,php,140009
424,recursion,799
425,hash,396
426,docusignapi,352
427,silverlight,432
428,delphi-xe2,360
429,lisp,350
430,grails,1965
431,netlogo,394
432,meteor,3183
