,Original_Tags,Tags,YearTagCount
0,"php,html",php,7000
1,"php,html",html,7000
2,"python,tkinter",python,3335
3,"python,tkinter",tkinter,3335
4,"python,python-2.7",python,6103
5,"python,python-2.7",python-2.7,6103
6,"c#,regex",c#,4650
7,"c#,regex",regex,4650
8,"xml,xslt",xml,3905
9,"xml,xslt",xslt,3905
10,"c#,asp.net-mvc",c#,3369
11,"c#,asp.net-mvc",asp.net-mvc,3369
12,"sql,oracle",sql,9118
13,"sql,oracle",oracle,9118
14,"java,arrays",java,4547
15,"java,arrays",arrays,4547
16,"angular,typescript",angular,3719
17,"angular,typescript",typescript,3719
18,"php,wordpress",php,6567
19,"php,wordpress",wordpress,6567
20,"php,json",php,3033
21,"php,json",json,3033
22,"python,pandas,dataframe",python,6970
23,"python,pandas,dataframe",pandas,6970
24,"python,pandas,dataframe",dataframe,6970
25,"jquery,css",jquery,3851
26,"jquery,css",css,3851
27,"python,list",python,4390
28,"python,list",list,4390
29,"html,css",html,52479
30,"html,css",css,52479
31,"php,regex",php,7159
32,"php,regex",regex,7159
33,"android,android-layout",android,6133
34,"android,android-layout",android-layout,6133
35,"php,laravel",php,6049
36,"php,laravel",laravel,6049
37,"python,regex",python,7638
38,"python,regex",regex,7638
39,"git,github",git,3592
40,"git,github",github,3592
41,"r,dplyr",r,3637
42,"r,dplyr",dplyr,3637
43,"mysql,sql",mysql,22037
44,"mysql,sql",sql,22037
45,"sql,postgresql",sql,5906
46,"sql,postgresql",postgresql,5906
47,"javascript,angularjs",javascript,14497
48,"javascript,angularjs",angularjs,14497
49,"ruby-on-rails,ruby",ruby-on-rails,8867
50,"ruby-on-rails,ruby",ruby,8867
51,"javascript,jquery,ajax",javascript,4881
52,"javascript,jquery,ajax",jquery,4881
53,"javascript,jquery,ajax",ajax,4881
54,"jquery,html",jquery,6790
55,"jquery,html",html,6790
56,"python,matplotlib",python,4821
57,"python,matplotlib",matplotlib,4821
58,"excel,excel-formula",excel,3771
59,"excel,excel-formula",excel-formula,3771
60,"c++,qt",c++,3449
61,"c++,qt",qt,3449
62,"java,multithreading",java,3466
