,Tags,Year,count
0,"['javascript', 'arrays']",2008,5
1,"['javascript', 'arrays']",2009,35
2,"['javascript', 'arrays']",2010,98
3,"['javascript', 'arrays']",2011,177
4,"['javascript', 'arrays']",2012,233
5,"['javascript', 'arrays']",2013,337
6,"['javascript', 'arrays']",2014,681
7,"['javascript', 'arrays']",2015,827
8,"['javascript', 'arrays']",2016,1073
9,"['javascript', 'arrays']",2017,1121
10,"['javascript', 'arrays']",2018,1021
11,"['javascript', 'arrays']",2019,976
12,"['javascript', 'arrays']",2020,794
