,Tags,Year,count
0,"['javascript', 'jquery', 'html']",2008,11
1,"['javascript', 'jquery', 'html']",2009,141
2,"['javascript', 'jquery', 'html']",2010,439
3,"['javascript', 'jquery', 'html']",2011,1117
4,"['javascript', 'jquery', 'html']",2012,1982
5,"['javascript', 'jquery', 'html']",2013,3029
6,"['javascript', 'jquery', 'html']",2014,4129
7,"['javascript', 'jquery', 'html']",2015,3825
8,"['javascript', 'jquery', 'html']",2016,3426
9,"['javascript', 'jquery', 'html']",2017,2949
10,"['javascript', 'jquery', 'html']",2018,2047
11,"['javascript', 'jquery', 'html']",2019,1360
12,"['javascript', 'jquery', 'html']",2020,409
