,Tags,Year,count
0,"['javascript', 'jquery']",2008,83
1,"['javascript', 'jquery']",2009,949
2,"['javascript', 'jquery']",2010,2556
3,"['javascript', 'jquery']",2011,5388
4,"['javascript', 'jquery']",2012,7717
5,"['javascript', 'jquery']",2013,8623
6,"['javascript', 'jquery']",2014,8112
7,"['javascript', 'jquery']",2015,7148
8,"['javascript', 'jquery']",2016,6369
9,"['javascript', 'jquery']",2017,5077
10,"['javascript', 'jquery']",2018,3582
11,"['javascript', 'jquery']",2019,2436
12,"['javascript', 'jquery']",2020,1506
