,Tags,Year,count
0,"['sql', 'sql-server', 'sql-server-2008']",2009,44
1,"['sql', 'sql-server', 'sql-server-2008']",2010,93
2,"['sql', 'sql-server', 'sql-server-2008']",2011,283
3,"['sql', 'sql-server', 'sql-server-2008']",2012,549
4,"['sql', 'sql-server', 'sql-server-2008']",2013,708
5,"['sql', 'sql-server', 'sql-server-2008']",2014,630
6,"['sql', 'sql-server', 'sql-server-2008']",2015,535
7,"['sql', 'sql-server', 'sql-server-2008']",2016,452
8,"['sql', 'sql-server', 'sql-server-2008']",2017,331
9,"['sql', 'sql-server', 'sql-server-2008']",2018,178
10,"['sql', 'sql-server', 'sql-server-2008']",2019,73
11,"['sql', 'sql-server', 'sql-server-2008']",2020,21
